iter	Passed	Remaining
0	178	177929
1	189	94658
2	206	68663
3	219	54663
4	237	47186
5	255	42247
6	271	38579
7	289	35932
8	306	33760
9	322	31957
10	338	30477
11	355	29287
12	373	28373
13	402	28328
14	415	27315
15	432	26611
16	450	26040
17	466	25463
18	482	24932
19	499	24487
20	515	24022
21	531	23628
22	600	25513
23	657	26739
24	694	27069
25	718	26931
26	740	26692
27	757	26310
28	773	25909
29	789	25535
30	810	25336
31	824	24935
32	840	24616
33	854	24275
34	869	23972
35	884	23679
36	900	23431
37	916	23190
38	945	23301
39	968	23236
40	984	23038
41	1000	22821
42	1016	22623
43	1067	23200
44	1090	23140
45	1109	22999
46	1167	23672
47	1181	23436
48	1200	23306
49	1218	23155
50	1237	23020
51	1258	22937
52	1271	22719
53	1285	22521
54	1300	22343
55	1317	22202
56	1331	22029
57	1346	21862
58	1362	21735
59	1380	21629
60	1394	21462
61	1408	21310
62	1423	21172
63	1438	21044
64	1457	20965
65	1474	20865
66	1493	20803
67	1509	20691
68	1525	20585
69	1543	20508
70	1558	20396
71	1573	20281
72	1591	20205
73	1607	20114
74	1620	19991
75	1635	19887
76	1650	19789
77	1666	19704
78	1682	19614
79	1698	19530
80	1714	19447
81	1729	19360
82	1744	19278
83	1761	19203
84	1776	19122
85	1794	19069
86	1813	19028
87	1832	18986
88	1847	18907
89	1862	18827
90	1878	18766
91	1895	18709
92	1914	18669
93	1932	18621
94	1947	18553
95	1964	18499
96	1979	18429
97	1997	18381
98	2011	18309
99	2026	18239
100	2041	18173
101	2058	18119
102	2072	18050
103	2088	17992
104	2103	17929
105	2119	17873
106	2132	17794
107	2145	17723
108	2159	17656
109	2175	17603
110	2192	17557
111	2206	17492
112	2221	17439
113	2237	17389
114	2252	17332
115	2267	17279
116	2283	17231
117	2308	17257
118	2324	17207
119	2343	17188
120	2369	17215
121	2390	17201
122	2413	17211
123	2435	17203
124	2468	17278
125	2498	17330
126	2528	17383
127	2549	17370
128	2569	17352
129	2584	17295
130	2599	17241
131	2615	17199
132	2631	17152
133	2646	17104
134	2662	17057
135	2677	17009
136	2692	16958
137	2713	16952
138	2728	16899
139	2743	16854
140	2756	16794
141	2770	16741
142	2785	16693
143	2802	16657
144	2813	16587
145	2828	16545
146	2844	16506
147	2861	16470
148	2877	16435
149	2893	16398
150	2909	16360
151	2924	16317
152	2940	16279
153	2956	16242
154	2972	16207
155	2987	16165
156	3003	16126
157	3018	16087
158	3035	16054
159	3051	16019
160	3066	15981
161	3082	15944
162	3103	15936
163	3116	15885
164	3130	15840
165	3145	15804
166	3161	15767
167	3176	15730
168	3191	15694
169	3208	15663
170	3224	15630
171	3240	15600
172	3255	15562
173	3271	15532
174	3289	15505
175	3303	15467
176	3322	15449
177	3337	15412
178	3353	15382
179	3370	15354
180	3389	15335
181	3406	15312
182	3424	15289
183	3442	15266
184	3459	15239
185	3482	15242
186	3501	15223
187	3518	15195
188	3532	15160
189	3547	15124
190	3565	15100
191	3580	15068
192	3597	15042
193	3613	15014
194	3632	14995
195	3765	15447
196	3779	15407
197	3831	15517
198	3845	15479
199	3861	15445
200	3877	15412
201	3892	15376
202	3908	15345
203	3924	15312
204	3941	15283
205	3957	15254
206	3973	15221
207	3989	15189
208	4004	15155
209	4020	15124
210	4035	15091
211	4051	15059
212	4067	15029
213	4082	14995
214	4098	14965
215	4114	14935
216	4131	14908
217	4147	14878
218	4163	14848
219	4181	14826
220	4195	14789
221	4218	14783
222	4236	14760
223	4255	14740
224	4270	14711
225	4291	14698
226	4301	14646
227	4320	14627
228	4335	14598
229	4351	14568
230	4367	14538
231	4382	14507
232	4397	14477
233	4413	14446
234	4428	14416
235	4444	14388
236	4460	14359
237	4476	14330
238	4491	14302
239	4507	14272
240	4522	14243
